24,Проектная практика                                                                                                                                                                                      ,"Занятие 4. Отрисовка топологии сети на геоподоснове Занятия ведут:  Гоманова, Острейко                                                                                                                  ",13:45               ,2022-09-06,2
25,Проектная практика                                                                                                                                                                                      ,Занятие 4. Практическая работа индивидуальная/в группах: Занятие ведет: Кислюк Юлия Мартиновна                                                                                                          ,15:45               ,2022-09-06,2
7,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",15:40               ,2022-09-19,1
8,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",14:00               ,2022-09-19,1
9,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",15:40               ,2022-09-19,2
31,Проектная практика                                                                                                                                                                                      ,Занятие 5. Ввод параметров сети. Практическая работа индивидуальная/в группах: Занятия ведут:  Кислюк Юлия Мартиновна                                                                                   ,11:45               ,2022-09-07,2
33,Проектная практика                                                                                                                                                                                      ,"Занятие 6. Расчет и ввод общих уставок сети и энергопотребления. Занятия ведут: Гоманова, Острейко                                                                                                      ",13:45               ,2022-09-07,2
32,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-07,2
34,Проектная практика                                                                                                                                                                                      , Занятие 6. Расчет и ввод общих уставок сети и энергопотребления. Практическая работа индивидуальная/в группах: Занятия ведут: Кислюк Юлия Мартиновна                                                   ,15:45               ,2022-09-07,2
35,Проектная практика                                                                                                                                                                                      ,Занятие 7. Практическая работа в GeoProject AS IS по вариантам Занятия ведут:  Кислюк Юлия Мартиновна                                                                                                   ,10:00               ,2022-09-08,2
36,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-08,2
38,Проектная практика                                                                                                                                                                                      ,Занятие 7. Практическая работа в GeoProject AS IS по вариантам (Ввод параметров сети) Занятия ведут: Кислюк Юлия Мартиновна                                                                             ,15:45               ,2022-09-08,2
40,Проектная практика                                                                                                                                                                                      ,Занятие 7. Практическая работа в GeoProject AS IS по вариантам (Внесение уточнений в модель сети) Занятия ведут: Кислюк Юлия Мартиновна                                                                 ,11:50               ,2022-09-09,2
41,Проектная практика                                                                                                                                                                                      ,"ОБЕД
                                                                                                                                                                                                   ",12:45               ,2022-09-09,2
39,Проектная практика                                                                                                                                                                                      ,Занятие 7. Практическая работа в GeoProject AS IS по вариантам (Расчет и ввод общих уставок сети и энергопотребления) Занятия ведут: Кислюк Юлия Мартиновна                                             ,10:10               ,2022-09-09,2
43,Проектная практика                                                                                                                                                                                      ,Занятие 8. Практическая работа в GeoProject AS IS. Сдача обучающимися готовых тестовых моделей участков сети. Занятия ведут: Кислюк Юлия Мартиновна                                                     ,15:50               ,2022-09-09,2
42,Проектная практика                                                                                                                                                                                      ,Занятие 8. Практическая работа в GeoProject AS IS. Сдача обучающимися готовых тестовых моделей участков сети. Занятия ведут: Кислюк Юлия Мартиновна                                                     ,13:45               ,2022-09-09,2
61,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",10:10               ,2022-09-14,1
75,Методология исследовательской деятельности рынков НТИ                                                                                                                                                   ,"Лекция, ведет доцент Сидоров Станислав Михайлович                                                                                                                                                       ",10:10               ,2022-09-26,1
69,"Системы электроснабжения 
1. Перейдите на веб-сайт https://mpei.webex.com/mpei/k2/j.php?MTID=tb6f9cad91109522227b176b117e4180b                                                                          ","Лекция, ведет ст.препод. МЭИ Кулага Марина Александровна, ассистирует Кислюк Юлия Мартиновна                                                                                                            ",08:30               ,2022-09-22,2
44,Проектная практика                                                                                                                                                                                      ,Занятие 9. Основы модернизации распределительных сетей. Гоманова                                                                                                                                        ,10:00               ,2022-09-12,2
57,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",14:00               ,2022-09-13,1
58,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",15:40               ,2022-09-13,1
92,Методология исследовательской деятельности рынков НТИ                                                                                                                                                   ,"Лекция, ведет доцент Сидоров Станислав Михайлович                                                                                                                                                       ",14:00               ,2022-09-27,1
74,Методология исследовательской деятельности рынков НТИ                                                                                                                                                   ,"Лекция, ведет доцент Сидоров Станислав Михайлович                                                                                                                                                       ",14:00               ,2022-09-06,1
93,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",10:10               ,2022-09-05,1
88,Выходной день                                                                                                                                                                                           ,Время посвятить себя чтению книг :)  https://disk.yandex.ru/i/o312oqjYrUS5IQ                                                                                                                            ,09:00               ,2022-09-10,1
104,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",10:10               ,2022-09-06,1
90,Выходной день                                                                                                                                                                                           ,Время посвятить себя чтению книг :)        https://disk.yandex.ru/i/KVLYWs27Bxmo3A                                                                                                                      ,09:00               ,2022-09-11,1
91,Выходной день                                                                                                                                                                                           ,Время посвятить себя чтению книг :)           https://disk.yandex.ru/i/KVLYWs27Bxmo3A                                                                                                                   ,09:00               ,2022-09-11,2
114,Системы учёта электрической энергии                                                                                                                                                                     ,"Лекция в ауд.2.3, ведет Кислюк Юлия Мартиновна                                                                                                                                                          ",10:10               ,2022-09-13,2
115,Системы учёта электрической энергии                                                                                                                                                                     ,"Лекция в ауд.2.3, ведет Кислюк Юлия Мартиновна                                                                                                                                                          ",14:00               ,2022-09-16,2
116,Системы учёта электрической энергии                                                                                                                                                                     ,"Лекция в ауд.2.3, ведет Кислюк Юлия Мартиновна                                                                                                                                                          ",14:00               ,2022-09-23,2
117,Системы учёта электрической энергии                                                                                                                                                                     ,"Лекция в ауд.2.3, ведет Кислюк Юлия Мартиновна                                                                                                                                                          ",14:00               ,2022-09-30,2
105,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",10:10               ,2022-09-13,1
106,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",10:10               ,2022-09-27,1
107,Иностранный язык факультатив                                                                                                                                                                            ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-06,1
108,Иностранный язык факультатив                                                                                                                                                                            ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-13,1
89,"Выходной день , пора почитать книги :)                                                                                                                                                                  ",Время посвятить себя чтению книг :)    https://disk.yandex.ru/i/o312oqjYrUS5IQ                                                                                                                          ,09:00               ,2022-09-10,2
120,Распределённая генерация и микро сети                                                                                                                                                                   ,"Лекция он-лайн ссылка на подключение https://join.skype.com/OUukFxWeSNUk, ведет проф.МЭИ Илюшин Павел Владимирович                                                                                      ",10:10               ,2022-09-27,2
121,Распределённая генерация и микро сети                                                                                                                                                                   ,"Лекция он-лайн ссылка на подключение https://join.skype.com/OUukFxWeSNUk, ведет проф.МЭИ Илюшин Павел Владимирович                                                                                      ",08:30               ,2022-09-27,2
62,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",11:50               ,2022-09-14,1
149,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=spUNpyF58BY                                                                                                                          ,09:40               ,2022-10-02,2
63,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",10:10               ,2022-09-15,1
64,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",11:50               ,2022-09-15,1
65,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",10:10               ,2022-09-16,1
123,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-16,2
124,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-23,2
66,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",11:50               ,2022-09-16,1
67,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",10:10               ,2022-09-22,1
68,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",11:50               ,2022-09-22,1
94,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",11:50               ,2022-09-05,1
95,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",11:50               ,2022-09-08,1
96,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",14:00               ,2022-09-08,1
97,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",10:10               ,2022-09-12,1
98,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",14:00               ,2022-09-15,1
99,Прикладная физика к задачам электроэнергетики                                                                                                                                                           ,"Лекция он-лайн, ведет доцент Жданов Игорь Анатольевич. Ссылка на подключение: https://join.skype.com/Gt1EEzibKCQS                                                                                       ",14:00               ,2022-09-22,1
